# Raw data:
#  git clone https://github.com/CSSEGISandData/2019-nCoV
#  cd csse_covid_19_data/csse_covid_19_daily_reports
#  cat *csv | grep Germany | cut -d, -f3-4 \
#    | sed -e "s/[T,]/ /g" \
#    | gawk -e '($1 ~ /^2020[^\/]*$/) {x1=$1 ; gsub(/-/, " ", $1) ; print x1,strftime("%j",mktime($1" 00 00 00")),$3}' \
#    > germany.dat
#
#  Change 2020-03-11 to 2020-03-13. Remove days before 2020-03-01
#  Later:  need columns -d, -f5,8 because regions, lat, lon.
#
# Date     Doy n_Germany
2020-03-01 61  130
2020-03-02 62  159
2020-03-03 63  196
2020-03-04 64  262
2020-03-05 65  482
2020-03-06 66  670
2020-03-07 67  799
2020-03-08 68  1040
2020-03-09 69  1176
2020-03-10 070 1457
2020-03-11 071 1908
2020-03-12 072 2078
2020-03-13 073 3675
2020-03-14 074 4585
2020-03-15 075 5795
2020-03-16 076 7272
2020-03-17 077 9257
2020-03-18 078 12327
2020-03-19 079 15320
2020-03-20 080 19848
2020-03-21 081 22213
2020-03-22 082 24873
2020-03-23 083 29056
2020-03-24 084 32986
2020-03-25 085 37323
2020-03-26 086 43938
2020-03-27 087 50871
2020-03-28 088 57695
2020-03-29 089 62095
2020-03-30 090 66885
2020-03-31 091 71808
2020-04-01 092 77872
2020-04-02 093 84794
2020-04-03 094 91159
2020-04-04 095 96092
2020-04-05 096 100123
2020-04-06 097 103374
2020-04-07 098 107663
2020-04-08 099 113296
2020-04-09 100 118181
